"","longitude","latitude"
"313",-84.3785524112826,33.6655580451145
"308",-84.3623016287904,33.6965458993144
"307",-84.3876700651779,33.7057908596257
"306",-84.4164151248922,33.7125374651296
"612",-84.3465629983431,33.7380698018941
"602",-84.355193866722,33.767904323944
"114",-84.506369739626,33.7906146990234
"050",-84.4184550516271,33.6208246711356
"405",-84.4709987821703,33.7517516760166
"401",-84.4257397665393,33.7376618944831
"409",-84.4730076191122,33.7138215716382
"410",-84.4658039396623,33.7037657414811
"411",-84.4880960090455,33.6882756735944
"305",-84.3767606973618,33.7145010734074
"309",-84.4057115748851,33.6820195047938
"606",-84.354764543419,33.7462909669377
"607",-84.3580724956675,33.7260082671593
"108",-84.4576905541554,33.7575350631286
"112",-84.4767742286624,33.7721357504131
"304",-84.3835480255778,33.731906913174
"102",-84.4112068381602,33.7589663212927
"207",-84.3935150651348,33.8057106024745
"403",-84.4372872716546,33.7238253192755
"303",-84.4033138706538,33.7378368830591
"605",-84.374701139359,33.7388289503846
"311",-84.4023936420386,33.6798447703767
"402",-84.4303456832267,33.7332554609119
"111",-84.4883215654608,33.7551172460288
"609",-84.342980931028,33.7518319124769
"610",-84.3278216695277,33.7513108656402
"204",-84.4310504099101,33.8139717944634
"203",-84.4444609474684,33.8073889024347
"211",-84.3778119244458,33.8250319768036
"206",-84.3828450378347,33.836514904928
"101",-84.4117379284742,33.7501853802512
"209",-84.3735233435639,33.8612841473661
"210",-84.3583293766142,33.8506517412174
"408",-84.4445871067365,33.7160233377839
"502",-84.3803995487101,33.7867193590755
"501",-84.401654686534,33.7833777191852
"503",-84.3812950872293,33.7825279440863
"506",-84.3735060105238,33.7760828149191
"508",-84.3910327922283,33.7608267596315
"504",-84.3983761282545,33.774122883278
"103",-84.4116725419746,33.7684050824615
"106",-84.4231900958032,33.7694608304726
"110",-84.4546292076778,33.7847742591703
"301",-84.4111766097297,33.7243491399008
"312",-84.38317190037,33.6707571145158
"404",-84.4410384440678,33.7373107468564
"105",-84.4288759792143,33.7588920953501
"104",-84.4220902563178,33.7507359968899
"113",-84.4758988132593,33.7875267541831
"107",-84.4442917919791,33.7697603417448
"109",-84.466150065209,33.7798587092205
"201",-84.4318526177165,33.8317967675587
"208",-84.3737991303199,33.8481676252172
"213",-84.3592627070068,33.7988503185276
"212",-84.3709414964849,33.8104721577356
"302",-84.4042824640361,33.7289795112172
"507",-84.4005311897206,33.7565425135091
"608",-84.3451934762828,33.76981929864
"505",-84.38231185227,33.7750639370094
"509",-84.3838793646065,33.7651870373699
"603",-84.3750999462666,33.7686985122313
"604",-84.3739931930334,33.760335637935
"601",-84.3560344338304,33.7797301291764
"511",-84.3880470214013,33.7517964361534
"202",-84.400402641423,33.8531815575389
"205",-84.4049349944494,33.8285046245533
"510",-84.3846834686582,33.7554695198178
"512",-84.391614120934,33.7501285942939
"310",-84.3820006076938,33.6883330634284
"413",-84.5216401024095,33.6880416064375
"414",-84.5147078613038,33.6767788011147
"611",-84.3112665860921,33.7473300630006
"407",-84.5075763241259,33.7534979106372
"412",-84.5300938807234,33.7122940771394
"406",-84.5012165982706,33.7212535210396
